LGOROWLENGTH	3																																										
Measurement_mode	patch																																										
CREATED	10/17/2018	#	Time:	13:31																																							
INSTRUMENTATION	Eye-One	iO																																									
MEASUREMENT_SOURCE	WhiteBase=Absolute	Filter=No																																									
ILLUMINATION_NAME	D50																																										
OBSERVER_ANGLE	2																																										
KEYWORD	SampleID																																										
KEYWORD	SAMPLE_NAME																																										
NUMBER_OF_FIELDS	44																																										
BEGIN_DATA_FORMAT																																											
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	nm380	nm390	nm400	nm410	nm420	nm430	nm440	nm450	nm460	nm470	nm480	nm490	nm500	nm510	nm520	nm530	nm540	nm550	nm560	nm570	nm580	nm590	nm600	nm610	nm620	nm630	nm640	nm650	nm660	nm670	nm680	nm690	nm700	nm710	nm720	nm730
END_DATA_FORMAT																																											
NUMBER_OF_SETS	33																																										
BEGIN_DATA																																											
14	E2	12.42	15.65	21.03	46.52	-16.96	-19.03	0.0688	0.0978	0.1396	0.1817	0.214	0.2345	0.2473	0.2557	0.2575	0.2599	0.2725	0.2979	0.3126	0.2863	0.2388	0.2112	0.1914	0.1499	0.1139	0.1046	0.1035	0.1006	0.0946	0.0899	0.0907	0.0944	0.1014	0.1144	0.1298	0.1372	0.1336	0.1247	0.1136	0.1088	0.1216	0.1604
15	E3	1	1.16	1.06	10.24	-4.22	-1.68	0.0091	0.0095	0.0116	0.0114	0.0118	0.012	0.0117	0.0119	0.0121	0.0126	0.0146	0.0178	0.02	0.0181	0.0144	0.0129	0.0126	0.0103	0.0087	0.0094	0.0106	0.011	0.0102	0.0094	0.009	0.009	0.0091	0.0097	0.0104	0.0115	0.0116	0.0113	0.011	0.0112	0.0136	0.0187
16	F1	37.06	46.11	63.52	73.62	-22.73	-28.8	0.1639	0.2378	0.3607	0.5062	0.6404	0.7308	0.7767	0.7974	0.8005	0.7988	0.7925	0.787	0.7756	0.7445	0.6934	0.6337	0.5669	0.4819	0.396	0.3393	0.3056	0.2876	0.273	0.2624	0.2614	0.2657	0.2761	0.2951	0.3171	0.3281	0.3242	0.3121	0.2961	0.2875	0.3038	0.3531
17	F2	14.75	17.82	21.3	49.28	-13.99	-14.8	0.0753	0.1052	0.1472	0.1882	0.2199	0.2388	0.2494	0.2567	0.2588	0.2614	0.276	0.3054	0.3239	0.2994	0.252	0.2266	0.2105	0.1705	0.1352	0.1292	0.1317	0.1305	0.1241	0.1188	0.1198	0.1245	0.133	0.1478	0.1652	0.1737	0.17	0.1603	0.1476	0.1415	0.1564	0.1991
18	F3	1.02	1.17	1.04	10.36	-3.88	-1.06	0.01	0.0123	0.0117	0.0107	0.0115	0.0114	0.0112	0.0116	0.012	0.0124	0.0141	0.0174	0.0195	0.0179	0.0144	0.013	0.0126	0.0104	0.0089	0.0097	0.0109	0.0114	0.0107	0.0098	0.0094	0.0093	0.0096	0.0101	0.0108	0.0118	0.0121	0.0118	0.0117	0.0121	0.014	0.0195
19	G1	44.41	53.12	64.94	77.95	-18.81	-22.7	0.1874	0.259	0.3853	0.5332	0.6695	0.7561	0.7956	0.8111	0.8121	0.8108	0.8065	0.8035	0.7968	0.7738	0.7343	0.6866	0.6311	0.5588	0.4812	0.4268	0.3924	0.3747	0.3608	0.3509	0.3503	0.3553	0.3665	0.3866	0.4094	0.4205	0.4168	0.4049	0.3887	0.38	0.3967	0.4456
20	G2	17.26	20.11	21.53	51.96	-11.16	-10.63	0.0818	0.112	0.1531	0.1931	0.2239	0.2414	0.2511	0.2578	0.2597	0.2626	0.2791	0.3126	0.3351	0.3121	0.2656	0.2424	0.2294	0.1909	0.1572	0.1552	0.1617	0.1625	0.1568	0.1514	0.1527	0.1579	0.1672	0.1837	0.2024	0.2115	0.208	0.1978	0.1846	0.1785	0.194	0.2398
21	G3	1.14	1.26	1.13	10.99	-2.42	-1.28	0.0112	0.0124	0.0128	0.013	0.0133	0.0128	0.0128	0.0126	0.0128	0.0131	0.0149	0.0185	0.0208	0.019	0.015	0.0137	0.0131	0.0107	0.0091	0.01	0.0117	0.0125	0.0122	0.0114	0.0111	0.0113	0.0117	0.0128	0.0143	0.0151	0.0151	0.0147	0.0141	0.0143	0.0164	0.0228
22	H1	53.41	61.33	67.9	82.55	-14.16	-17.51	0.2139	0.2865	0.4158	0.5699	0.7132	0.8013	0.8355	0.846	0.8448	0.8422	0.8371	0.8341	0.8283	0.8099	0.7786	0.7419	0.7	0.6417	0.5757	0.5283	0.4968	0.4814	0.4694	0.4602	0.46	0.4648	0.4762	0.4959	0.5182	0.5285	0.5255	0.5148	0.4994	0.4924	0.5087	0.5548
23	H2	19.48	21.96	21.84	53.98	-8.26	-7.76	0.0903	0.1199	0.1596	0.1989	0.2295	0.2463	0.2545	0.2607	0.2626	0.265	0.2827	0.3178	0.342	0.3196	0.2731	0.2517	0.2422	0.2055	0.1742	0.1771	0.1886	0.192	0.1868	0.1811	0.1825	0.1878	0.1978	0.215	0.2346	0.2442	0.2408	0.231	0.2173	0.2111	0.2278	0.2749
